gene_id;gene_short_name;gene_type;
ENSMUSG00000001674;Ddx18;protein_coding;
ENSMUSG00000001687;Ubl3;protein_coding;
ENSMUSG00000001700;Gramd3;protein_coding;
ENSMUSG00000001707;Eef1e1;protein_coding;
ENSMUSG00000001729;Akt1;protein_coding;
ENSMUSG00000001755;Coasy;protein_coding;
ENSMUSG00000001767;Crnkl1;protein_coding;
ENSMUSG00000001774;Chordc1;protein_coding;
ENSMUSG00000001783;Rtcb;protein_coding;
ENSMUSG00000001785;Pwp1;protein_coding;
ENSMUSG00000001786;Fbxo7;protein_coding;
ENSMUSG00000001794;Capns1;protein_coding;
ENSMUSG00000001833;07-Sep;protein_coding;
ENSMUSG00000001844;Zdhhc4;protein_coding;
ENSMUSG00000001847;Rac1;protein_coding;
ENSMUSG00000001855;Nup214;protein_coding;
ENSMUSG00000001909;Trmt1;protein_coding;
ENSMUSG00000001910;Nacc1;protein_coding;
ENSMUSG00000001924;Uba1;protein_coding;
ENSMUSG00000001942;Siae;protein_coding;
ENSMUSG00000001964;Emd;protein_coding;
ENSMUSG00000001983;Taco1;protein_coding;
ENSMUSG00000001999;Blvra;protein_coding;
ENSMUSG00000002017;Fam98a;protein_coding;
ENSMUSG00000002043;Trappc6a;protein_coding;
ENSMUSG00000002052;Supt6;protein_coding;
ENSMUSG00000002064;Sdf2;protein_coding;
ENSMUSG00000002103;Acp2;protein_coding;
ENSMUSG00000002105;Slc39a13;protein_coding;
ENSMUSG00000002129;Sf3a1;protein_coding;
ENSMUSG00000002205;Vrk3;protein_coding;
ENSMUSG00000002221;Paxip1;protein_coding;
ENSMUSG00000002280;Narfl;protein_coding;
ENSMUSG00000002320;Tm9sf1;protein_coding;
ENSMUSG00000002326;Gmpr2;protein_coding;
ENSMUSG00000002329;Mdp1;protein_coding;
ENSMUSG00000002332;Dhrs1;protein_coding;
ENSMUSG00000002342;Tmem161a;protein_coding;
ENSMUSG00000002343;Armc6;protein_coding;
ENSMUSG00000002345;2310045N01Rik;protein_coding;
ENSMUSG00000002346;Slc25a42;protein_coding;
ENSMUSG00000002365;Snx9;protein_coding;
ENSMUSG00000002372;Ranbp3;protein_coding;
ENSMUSG00000002379;Ndufa11;protein_coding;
ENSMUSG00000002395;Use1;protein_coding;
ENSMUSG00000002396;Ocel1;protein_coding;
ENSMUSG00000002413;Braf;protein_coding;
ENSMUSG00000002416;Ndufb2;protein_coding;
ENSMUSG00000002428;Hltf;protein_coding;
ENSMUSG00000002455;Prpf6;protein_coding;
ENSMUSG00000002477;Snrpd1;protein_coding;
ENSMUSG00000002496;Tsc2;protein_coding;
ENSMUSG00000002524;Puf60;protein_coding;
ENSMUSG00000002546;Golga2;protein_coding;
ENSMUSG00000002550;Uck1;protein_coding;
ENSMUSG00000002580;Mien1;protein_coding;
ENSMUSG00000002608;Ccdc97;protein_coding;
ENSMUSG00000002625;Akap8l;protein_coding;
ENSMUSG00000002635;Pdcd2l;protein_coding;
ENSMUSG00000002660;Clpp;protein_coding;
ENSMUSG00000002661;Alkbh7;protein_coding;
ENSMUSG00000002679;Med6;protein_coding;
ENSMUSG00000002718;Cse1l;protein_coding;
ENSMUSG00000002728;Naa20;protein_coding;
ENSMUSG00000002731;Prkra;protein_coding;
ENSMUSG00000002733;Plekha3;protein_coding;
ENSMUSG00000002741;Ykt6;protein_coding;
ENSMUSG00000002748;Baz1b;protein_coding;
ENSMUSG00000002763;Pex6;protein_coding;
ENSMUSG00000002767;Mrpl2;protein_coding;
ENSMUSG00000002778;Kdelr1;protein_coding;
ENSMUSG00000002781;Tmem143;protein_coding;
ENSMUSG00000002797;Ggct;protein_coding;
ENSMUSG00000002803;Btbd6;protein_coding;
ENSMUSG00000002812;Flii;protein_coding;
ENSMUSG00000002820;Atg4d;protein_coding;
ENSMUSG00000002845;Tmem39a;protein_coding;
ENSMUSG00000002846;Timmdc1;protein_coding;
ENSMUSG00000002881;Nab1;protein_coding;
ENSMUSG00000002948;Map2k7;protein_coding;
ENSMUSG00000002949;Timm44;protein_coding;
ENSMUSG00000002957;Ap2a2;protein_coding;
ENSMUSG00000002963;Pnkp;protein_coding;
ENSMUSG00000002968;Med25;protein_coding;
ENSMUSG00000002981;Clptm1;protein_coding;
ENSMUSG00000002984;Tomm40;protein_coding;
ENSMUSG00000002996;Hbp1;protein_coding;
ENSMUSG00000003039;Fam32a;protein_coding;
ENSMUSG00000003062;Stard3nl;protein_coding;
ENSMUSG00000003068;Stk11;protein_coding;
ENSMUSG00000003072;Atp5d;protein_coding;
ENSMUSG00000003099;Ppp5c;protein_coding;
ENSMUSG00000003119;Cdk12;protein_coding;
ENSMUSG00000003131;Pafah1b2;protein_coding;
ENSMUSG00000003134;Tbc1d8;protein_coding;
ENSMUSG00000003135;Cnot11;protein_coding;
ENSMUSG00000003154;Foxj2;protein_coding;
ENSMUSG00000003166;Dgcr2;protein_coding;
ENSMUSG00000003184;Irf3;protein_coding;
ENSMUSG00000003200;Sh3gl1;protein_coding;
ENSMUSG00000003208;Ccdc94;protein_coding;
ENSMUSG00000003226;Ranbp2;protein_coding;
ENSMUSG00000003233;Dvl3;protein_coding;
ENSMUSG00000003234;Abcf3;protein_coding;
ENSMUSG00000003235;Eif2b5;protein_coding;
ENSMUSG00000003299;Mrpl4;protein_coding;
ENSMUSG00000003308;Keap1;protein_coding;
ENSMUSG00000003316;Glg1;protein_coding;
ENSMUSG00000003344;Btbd2;protein_coding;
ENSMUSG00000003346;Abhd17a;protein_coding;
ENSMUSG00000003360;Ddx23;protein_coding;
ENSMUSG00000003380;Rabac1;protein_coding;
ENSMUSG00000003402;Prkcsh;protein_coding;
ENSMUSG00000003421;Nosip;protein_coding;
ENSMUSG00000003429;Rps11;protein_coding;
ENSMUSG00000003435;Supt5;protein_coding;
ENSMUSG00000003437;Paf1;protein_coding;
ENSMUSG00000003438;Timm50;protein_coding;
ENSMUSG00000003444;Med29;protein_coding;
ENSMUSG00000003458;Ncstn;protein_coding;
ENSMUSG00000003464;Pex19;protein_coding;
ENSMUSG00000003527;Dgcr14;protein_coding;
ENSMUSG00000003531;Dgcr6;protein_coding;
ENSMUSG00000003559;As3mt;protein_coding;
ENSMUSG00000003581;Rnf215;protein_coding;
ENSMUSG00000003660;Snrnp200;protein_coding;
ENSMUSG00000003662;Ciao1;protein_coding;
ENSMUSG00000003680;Taf6l;protein_coding;
ENSMUSG00000003762;Adck4;protein_coding;
ENSMUSG00000003778;Brd8;protein_coding;
ENSMUSG00000003808;Farsa;protein_coding;
ENSMUSG00000003813;Rad23a;protein_coding;
ENSMUSG00000003814;Calr;protein_coding;
ENSMUSG00000003848;Nob1;protein_coding;
ENSMUSG00000003873;Bax;protein_coding;
ENSMUSG00000003955;Fam162a;protein_coding;
ENSMUSG00000003970;Rpl8;protein_coding;
ENSMUSG00000004018;Fancl;protein_coding;
ENSMUSG00000004040;Stat3;protein_coding;
ENSMUSG00000004054;Map3k11;protein_coding;
ENSMUSG00000004056;Akt2;protein_coding;
ENSMUSG00000004069;Dnaja3;protein_coding;
ENSMUSG00000004071;Cdip1;protein_coding;
ENSMUSG00000004096;Cwc15;protein_coding;
ENSMUSG00000004207;Psap;protein_coding;
ENSMUSG00000004264;Phb2;protein_coding;
ENSMUSG00000004268;Emg1;protein_coding;
ENSMUSG00000004270;Lpcat3;protein_coding;
ENSMUSG00000004285;Atp6v1f;protein_coding;
ENSMUSG00000004319;Clcn3;protein_coding;
ENSMUSG00000004356;Utp20;protein_coding;
ENSMUSG00000004364;Cul3;protein_coding;
ENSMUSG00000004393;Ddx56;protein_coding;
ENSMUSG00000004394;Tmed4;protein_coding;
ENSMUSG00000004451;Ralb;protein_coding;
ENSMUSG00000004460;Dnajb11;protein_coding;
ENSMUSG00000004462;Tbccd1;protein_coding;
ENSMUSG00000004535;Tax1bp1;protein_coding;
ENSMUSG00000004561;Mettl17;protein_coding;
ENSMUSG00000004562;Arhgef40;protein_coding;
ENSMUSG00000004565;Pnpla6;protein_coding;
ENSMUSG00000004567;Mcoln1;protein_coding;
ENSMUSG00000004591;Pkn2;protein_coding;
ENSMUSG00000004610;Etfb;protein_coding;
ENSMUSG00000004637;Wwox;protein_coding;
ENSMUSG00000004667;Polr2e;protein_coding;
ENSMUSG00000004771;Rab11a;protein_coding;
ENSMUSG00000004788;Eif2b2;protein_coding;
ENSMUSG00000004789;Dlst;protein_coding;
ENSMUSG00000004798;Ulk2;protein_coding;
ENSMUSG00000004815;Dgkq;protein_coding;
ENSMUSG00000004843;Chmp2b;protein_coding;
ENSMUSG00000004846;Plod3;protein_coding;
ENSMUSG00000004849;Ap1s1;protein_coding;
ENSMUSG00000004895;Prcc;protein_coding;
ENSMUSG00000004896;Rrnad1;protein_coding;
ENSMUSG00000004897;Hdgf;protein_coding;
ENSMUSG00000004931;Apba3;protein_coding;
ENSMUSG00000004937;Sgta;protein_coding;
ENSMUSG00000004945;Tmem242;protein_coding;
ENSMUSG00000004980;Hnrnpa2b1;protein_coding;
ENSMUSG00000004996;Mri1;protein_coding;
ENSMUSG00000005069;Pex5;protein_coding;
ENSMUSG00000005078;Jkamp;protein_coding;
ENSMUSG00000005103;Wdr1;protein_coding;
ENSMUSG00000005142;Man2b1;protein_coding;
ENSMUSG00000005150;Wdr83;protein_coding;
ENSMUSG00000005161;Prdx2;protein_coding;
ENSMUSG00000005198;Polr2a;protein_coding;
ENSMUSG00000005204;Senp3;protein_coding;
ENSMUSG00000005262;Ufd1l;protein_coding;
ENSMUSG00000005299;Letm1;protein_coding;
ENSMUSG00000005312;Ubqln1;protein_coding;
ENSMUSG00000005354;Txn2;protein_coding;
ENSMUSG00000005362;Crbn;protein_coding;
ENSMUSG00000005371;Fbxo11;protein_coding;
ENSMUSG00000005378;Wbscr22;protein_coding;
ENSMUSG00000005417;Mprip;protein_coding;
ENSMUSG00000005469;Prkaca;protein_coding;
ENSMUSG00000005501;Usp40;protein_coding;
ENSMUSG00000005505;Kbtbd4;protein_coding;
ENSMUSG00000005506;Celf1;protein_coding;
ENSMUSG00000005510;Ndufs3;protein_coding;
ENSMUSG00000005534;Insr;protein_coding;
ENSMUSG00000005575;Ube2m;protein_coding;
ENSMUSG00000005609;Ctr9;protein_coding;
ENSMUSG00000005610;Eif4g2;protein_coding;
ENSMUSG00000005615;Pcyt1a;protein_coding;
ENSMUSG00000005621;Zfp592;protein_coding;
ENSMUSG00000005625;Psmd4;protein_coding;
ENSMUSG00000005674;Tomm40l;protein_coding;
ENSMUSG00000005682;Pan2;protein_coding;
ENSMUSG00000005687;Bcas2;protein_coding;
ENSMUSG00000005732;Ranbp1;protein_coding;
ENSMUSG00000005779;Psmb4;protein_coding;
ENSMUSG00000005802;Slc30a4;protein_coding;
ENSMUSG00000005804;Bloc1s6;protein_coding;
ENSMUSG00000005813;Metap1;protein_coding;
ENSMUSG00000005823;Gpr108;protein_coding;
ENSMUSG00000005846;Rsl1d1;protein_coding;
ENSMUSG00000005881;Ergic3;protein_coding;
ENSMUSG00000005882;Uqcc1;protein_coding;
ENSMUSG00000005886;Ncoa2;protein_coding;
ENSMUSG00000005897;Nr2c1;protein_coding;
ENSMUSG00000005907;Pex1;protein_coding;
ENSMUSG00000005936;Kctd20;protein_coding;
ENSMUSG00000005949;Ctns;protein_coding;
ENSMUSG00000005981;Trap1;protein_coding;
ENSMUSG00000005982;Naa60;protein_coding;
ENSMUSG00000006005;Tpr;protein_coding;
ENSMUSG00000006010;BC003331;protein_coding;
ENSMUSG00000006021;Kptn;protein_coding;
ENSMUSG00000006024;Napa;protein_coding;
ENSMUSG00000006050;Sra1;protein_coding;
ENSMUSG00000006058;Snf8;protein_coding;
ENSMUSG00000006095;Tbcb;protein_coding;
ENSMUSG00000006134;Crkl;protein_coding;
ENSMUSG00000006169;Clint1;protein_coding;
ENSMUSG00000006191;Cdkal1;protein_coding;
ENSMUSG00000006215;Zbtb17;protein_coding;
ENSMUSG00000006262;Mob1b;protein_coding;
ENSMUSG00000006276;Eps15l1;protein_coding;
ENSMUSG00000006288;Ttc5;protein_coding;
ENSMUSG00000006289;Osgep;protein_coding;
ENSMUSG00000006304;Arpc2;protein_coding;
ENSMUSG00000006307;Kmt2b;protein_coding;
ENSMUSG00000006315;Tmem147;protein_coding;
ENSMUSG00000006333;Rps9;protein_coding;
ENSMUSG00000006335;Tfpt;protein_coding;
ENSMUSG00000006392;Med8;protein_coding;
ENSMUSG00000006412;Pfdn2;protein_coding;
ENSMUSG00000006418;Rnf114;protein_coding;
ENSMUSG00000006423;C330007P06Rik;protein_coding;
ENSMUSG00000006456;Rbm14;protein_coding;
ENSMUSG00000006471;Ndor1;protein_coding;
ENSMUSG00000006526;Tmem110;protein_coding;
ENSMUSG00000006641;Slc5a6;protein_coding;
ENSMUSG00000006676;Usp19;protein_coding;
ENSMUSG00000006699;Cdc42;protein_coding;
ENSMUSG00000006705;Pknox1;protein_coding;
ENSMUSG00000006732;Mettl1;protein_coding;
ENSMUSG00000006736;Tspan31;protein_coding;
ENSMUSG00000006740;Kif5b;protein_coding;
ENSMUSG00000006850;Tmco6;protein_coding;
ENSMUSG00000006906;Stambp;protein_coding;
ENSMUSG00000006920;Ezh1;protein_coding;
ENSMUSG00000006932;Ctnnb1;protein_coding;
ENSMUSG00000006998;Psmd2;protein_coding;
ENSMUSG00000007036;Abhd16a;protein_coding;
ENSMUSG00000007338;Mrpl49;protein_coding;
ENSMUSG00000007411;Mark3;protein_coding;
ENSMUSG00000007415;Gatad1;protein_coding;
ENSMUSG00000007458;M6pr;protein_coding;
ENSMUSG00000007476;Lrrc8a;protein_coding;
ENSMUSG00000007564;Ppp2r1a;protein_coding;
ENSMUSG00000007570;Fance;protein_coding;
ENSMUSG00000007589;Tinf2;protein_coding;
ENSMUSG00000007603;Dus3l;protein_coding;
ENSMUSG00000007610;Gtpbp3;protein_coding;
ENSMUSG00000007613;Tgfbr1;protein_coding;
ENSMUSG00000007656;Arpp19;protein_coding;
ENSMUSG00000007659;Bcl2l1;protein_coding;
ENSMUSG00000007670;Khsrp;protein_coding;
ENSMUSG00000007721;Ccdc124;protein_coding;
ENSMUSG00000007739;Cct4;protein_coding;
ENSMUSG00000007777;0610009B22Rik;protein_coding;
ENSMUSG00000007812;Zfp655;protein_coding;
ENSMUSG00000007815;Rhoa;protein_coding;
ENSMUSG00000007817;Zmiz1;protein_coding;
ENSMUSG00000007836;Hnrnpa0;protein_coding;
ENSMUSG00000007837;Prrg2;protein_coding;
ENSMUSG00000007850;Hnrnph1;protein_coding;
ENSMUSG00000007892;Rplp1;protein_coding;
ENSMUSG00000008036;Ap2s1;protein_coding;
ENSMUSG00000008090;Fgfrl1;protein_coding;
ENSMUSG00000008140;Emc10;protein_coding;
ENSMUSG00000008200;Fnbp4;protein_coding;
ENSMUSG00000008226;Scrn3;protein_coding;
ENSMUSG00000008301;Phax;protein_coding;
ENSMUSG00000008305;Tle1;protein_coding;
ENSMUSG00000008333;Snrpb2;protein_coding;
ENSMUSG00000008348;Ubc;protein_coding;
ENSMUSG00000008373;Prpf31;protein_coding;
ENSMUSG00000008384;Sertad1;protein_coding;
ENSMUSG00000008393;Carhsp1;protein_coding;
ENSMUSG00000008429;Herpud2;protein_coding;
ENSMUSG00000008435;Rdh13;protein_coding;
ENSMUSG00000008450;Nutf2;protein_coding;
ENSMUSG00000008475;Arpc5;protein_coding;
ENSMUSG00000008604;Ubqln4;protein_coding;
ENSMUSG00000008668;Rps18;protein_coding;
ENSMUSG00000008683;Rps15a;protein_coding;
ENSMUSG00000008690;Ncaph2;protein_coding;
ENSMUSG00000008730;Hipk1;protein_coding;
ENSMUSG00000008763;Man1a2;protein_coding;
ENSMUSG00000008855;Hdac5;protein_coding;
ENSMUSG00000008859;Rala;protein_coding;
ENSMUSG00000008892;Vdac3;protein_coding;
ENSMUSG00000008958;Vps72;protein_coding;
ENSMUSG00000008976;Gabpa;protein_coding;
ENSMUSG00000009030;Pdcl;protein_coding;
ENSMUSG00000009073;Nf2;protein_coding;
ENSMUSG00000009076;Zmat5;protein_coding;
ENSMUSG00000009079;Ewsr1;protein_coding;
ENSMUSG00000009090;Ap1b1;protein_coding;
ENSMUSG00000009112;Bcl2l13;protein_coding;
ENSMUSG00000009293;Ube2g2;protein_coding;
ENSMUSG00000009470;Tnpo1;protein_coding;
ENSMUSG00000009535;Rnmt;protein_coding;
ENSMUSG00000009549;Srp14;protein_coding;
ENSMUSG00000009555;Cdk9;protein_coding;
ENSMUSG00000009563;Tor2a;protein_coding;
ENSMUSG00000009575;Cbx5;protein_coding;
ENSMUSG00000009630;Ppp2cb;protein_coding;
ENSMUSG00000009640;Dmap1;protein_coding;
ENSMUSG00000009733;Tfcp2;protein_coding;
ENSMUSG00000009741;Ubp1;protein_coding;
ENSMUSG00000009828;Ick;protein_coding;
ENSMUSG00000009863;Sdhb;protein_coding;
ENSMUSG00000009905;Kdsr;protein_coding;
ENSMUSG00000009907;Vps4b;protein_coding;
ENSMUSG00000009927;Rps25;protein_coding;
ENSMUSG00000009995;Taz;protein_coding;
ENSMUSG00000010045;Tmem115;protein_coding;
ENSMUSG00000010054;Tusc2;protein_coding;
ENSMUSG00000010057;Nprl2;protein_coding;
ENSMUSG00000010097;Nxf1;protein_coding;
ENSMUSG00000010110;Stx5a;protein_coding;
ENSMUSG00000010205;Raver1;protein_coding;
ENSMUSG00000010277;2610507B11Rik;protein_coding;
ENSMUSG00000010290;AI597479;protein_coding;
ENSMUSG00000010362;Rdm1;protein_coding;
ENSMUSG00000010376;Nedd8;protein_coding;
ENSMUSG00000010392;Gosr1;protein_coding;
ENSMUSG00000010406;Mrpl52;protein_coding;
ENSMUSG00000010453;Kansl3;protein_coding;
ENSMUSG00000010517;Faf1;protein_coding;
ENSMUSG00000010554;Mettl16;protein_coding;
ENSMUSG00000010607;Pigyl;protein_coding;
ENSMUSG00000010608;Rbm25;protein_coding;
ENSMUSG00000010751;Tnfrsf22;protein_coding;
ENSMUSG00000010755;Cars;protein_coding;
ENSMUSG00000010911;Apip;protein_coding;
ENSMUSG00000010936;Vac14;protein_coding;
ENSMUSG00000011096;Akt1s1;protein_coding;
ENSMUSG00000011114;Tbrg1;protein_coding;
ENSMUSG00000011158;Brf1;protein_coding;
ENSMUSG00000011179;Odc1;protein_coding;
ENSMUSG00000011306;Sugp1;protein_coding;
ENSMUSG00000011427;Zfp790;protein_coding;
ENSMUSG00000011658;Fuz;protein_coding;
ENSMUSG00000011831;Evi5;protein_coding;
ENSMUSG00000011837;Snapc2;protein_coding;
ENSMUSG00000011958;Bnip2;protein_coding;
ENSMUSG00000011960;Ccnt1;protein_coding;
ENSMUSG00000012114;Med15;protein_coding;
ENSMUSG00000012117;Dhdds;protein_coding;
ENSMUSG00000012405;Rpl15;protein_coding;
ENSMUSG00000012422;Tmem167;protein_coding;
ENSMUSG00000012429;Mplkip;protein_coding;
ENSMUSG00000012535;Tnpo3;protein_coding;
ENSMUSG00000012640;Zfp715;protein_coding;
ENSMUSG00000012848;Rps5;protein_coding;
ENSMUSG00000013160;Atp6v0d1;protein_coding;
ENSMUSG00000013465;Nelfb;protein_coding;
ENSMUSG00000013539;Tango2;protein_coding;
ENSMUSG00000013593;Ndufs2;protein_coding;
ENSMUSG00000013622;Atraid;protein_coding;
ENSMUSG00000013629;Cad;protein_coding;
ENSMUSG00000013646;Sh3bp5l;protein_coding;
ENSMUSG00000013662;Atad1;protein_coding;
ENSMUSG00000013663;Pten;protein_coding;
ENSMUSG00000013701;Timm23;protein_coding;
ENSMUSG00000013736;Trnt1;protein_coding;
ENSMUSG00000013787;Ehmt2;protein_coding;
ENSMUSG00000013858;Tmem259;protein_coding;
ENSMUSG00000013878;Rnf170;protein_coding;
ENSMUSG00000013973;Dedd;protein_coding;
ENSMUSG00000013997;Nit1;protein_coding;
ENSMUSG00000014074;Rnf168;protein_coding;
ENSMUSG00000014077;Chp1;protein_coding;
ENSMUSG00000014177;Tvp23b;protein_coding;
ENSMUSG00000014195;Dnajc7;protein_coding;
ENSMUSG00000014226;Cacybp;protein_coding;
ENSMUSG00000014294;Ndufa2;protein_coding;
ENSMUSG00000014313;Cox6c;protein_coding;
ENSMUSG00000014349;Ube2z;protein_coding;
ENSMUSG00000014353;Tmem87b;protein_coding;
ENSMUSG00000014355;Anapc1;protein_coding;
ENSMUSG00000014402;Tsg101;protein_coding;
ENSMUSG00000014418;Hps5;protein_coding;
ENSMUSG00000014426;Map3k4;protein_coding;
ENSMUSG00000014470;Rnf166;protein_coding;
ENSMUSG00000014496;Ankrd28;protein_coding;
ENSMUSG00000014498;Ankrd52;protein_coding;
ENSMUSG00000014504;Srp19;protein_coding;
ENSMUSG00000014550;Zfyve20;protein_coding;
ENSMUSG00000014551;Mrps25;protein_coding;
ENSMUSG00000014554;Dguok;protein_coding;
ENSMUSG00000014601;Strip1;protein_coding;
ENSMUSG00000014633;Cmc2;protein_coding;
ENSMUSG00000014668;Chfr;protein_coding;
ENSMUSG00000014748;Tex261;protein_coding;
ENSMUSG00000014763;Fam120b;protein_coding;
ENSMUSG00000014769;Psmb1;protein_coding;
ENSMUSG00000014771;Pdcd2;protein_coding;
ENSMUSG00000014850;Msh3;protein_coding;
ENSMUSG00000014856;Tmem208;protein_coding;
ENSMUSG00000014859;E2f4;protein_coding;
ENSMUSG00000014867;Surf4;protein_coding;
ENSMUSG00000014873;Surf2;protein_coding;
ENSMUSG00000014905;Dnajb9;protein_coding;
ENSMUSG00000014932;Yes1;protein_coding;
ENSMUSG00000014956;Ppp1cb;protein_coding;
ENSMUSG00000014959;Gorasp2;protein_coding;
ENSMUSG00000014980;Tsen15;protein_coding;
ENSMUSG00000015002;Efr3a;protein_coding;
ENSMUSG00000015013;Trappc2l;protein_coding;
ENSMUSG00000015016;Acsf3;protein_coding;
ENSMUSG00000015023;Ddx19a;protein_coding;
ENSMUSG00000015087;Rabl6;protein_coding;
ENSMUSG00000015092;Edf1;protein_coding;
ENSMUSG00000015120;Ube2i;protein_coding;
ENSMUSG00000015126;Tsr3;protein_coding;
ENSMUSG00000015127;Unkl;protein_coding;
ENSMUSG00000015149;Sirt2;protein_coding;
ENSMUSG00000015165;Hnrnpl;protein_coding;
ENSMUSG00000015176;Nolc1;protein_coding;
ENSMUSG00000015189;Casd1;protein_coding;
ENSMUSG00000015214;Mtmr1;protein_coding;
ENSMUSG00000015290;Ubl4;protein_coding;
ENSMUSG00000015305;Sash1;protein_coding;
ENSMUSG00000015341;Golga7;protein_coding;
ENSMUSG00000015357;Clpx;protein_coding;
ENSMUSG00000015363;Trabd;protein_coding;
ENSMUSG00000015461;Atf6b;protein_coding;
ENSMUSG00000015474;Ppt2;protein_coding;
ENSMUSG00000015478;Rnf5;protein_coding;
ENSMUSG00000015488;Cacfd1;protein_coding;
ENSMUSG00000015522;Arnt;protein_coding;
ENSMUSG00000015536;Mocs2;protein_coding;
ENSMUSG00000015542;Nat9;protein_coding;
ENSMUSG00000015575;Atp6v0e;protein_coding;
ENSMUSG00000015668;Pdzd11;protein_coding;
ENSMUSG00000015671;Psma2;protein_coding;
ENSMUSG00000015672;Mrpl32;protein_coding;
ENSMUSG00000015697;Setdb1;protein_coding;
ENSMUSG00000015711;Prune;protein_coding;
ENSMUSG00000015714;Cers2;protein_coding;
ENSMUSG00000015733;Capza2;protein_coding;
ENSMUSG00000015747;Vps45;protein_coding;
ENSMUSG00000015748;Prpf3;protein_coding;
ENSMUSG00000015750;Aph1a;protein_coding;
ENSMUSG00000015755;Tab2;protein_coding;
ENSMUSG00000015757;Ppil4;protein_coding;
ENSMUSG00000015759;Cnih1;protein_coding;
